,team1,team2,team_lost_score,team_won_score,date_match,event_name,maps_info,map1_played,team_winner_map1,result_map1_played1,result_half_score_map1,team_loser_map1,result_map1_played2,map2_played,team_winner_map2,result_map2_played1,result_half_score_map2,team_loser_map2,result_map2_played2,map3_played,team_winner_map3,result_map3_played1,result_half_score_map3,team_loser_map3,result_map3_played2,player1_team1,kd_player1_team1,adr_player1_team1,kast_player1_team1,rating_player1_team1,player2_team1,kd_player2_team1,adr_player2_team1,kast_player2_team1,rating_player2_team1,player3_team1,kd_player3_team1,adr_player3_team1,kast_player3_team1,rating_player3_team1,player4_team1,kd_player4_team1,adr_player4_team1,kast_player4_team1,rating_player4_team1,player5_team1,kd_player5_team1,adr_player5_team1,kast_player5_team1,rating_player5_team1,player1_team2,kd_player1_team2,adr_player1_team2,kast_player1_team2,rating_player1_team2,player2_team2,kd_player2_team2,adr_player2_team2,kast_player2_team2,rating_player2_team2,player3_team2,kd_player3_team2,adr_player3_team2,kast_player3_team2,rating_player3_team2,player4_team2,kd_player4_team2,adr_player4_team2,kast_player4_team2,rating_player4_team2,player5_team2,kd_player5_team2,adr_player5_team2,kast_player5_team2,rating_player5_team2
48,Virtus.pro,Cloud9,10,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 5 (teams with a 2-2 record). Winner advances to quarter-finals, loser is eliminated",Train,Virtus.pro,16,(8:7; 8:3),Cloud9,10,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Paweł 'byali' Bieliński,20-15,82.8,80.8%,1.23,Filip 'NEO' Kubski,16-15,75.1,84.6%,1.21,Wiktor 'TaZ' Wojtas,21-15,77.8,69.2%,1.20,Janusz 'Snax' Pogorzelski,17-15,87.5,73.1%,1.20,Jarosław 'pashaBiceps' Jarząbkowski,21-18,64.2,80.8%,1.19,Timothy 'autimatic' Ta,19-20,94.7,65.4%,1.06,Jordan 'n0thing' Gilbert,18-19,71.3,69.2%,0.98,Jake 'Stewie2K' Yip,16-21,69.2,73.1%,0.87,Mike 'shroud' Grzesiek,14-18,49.5,65.4%,0.81,Tyler 'Skadoodle' Latham,11-17,47.5,65.4%,0.75
49,fnatic,G2,10,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 5 (teams with a 2-2 record). Winner advances to quarter-finals, loser is eliminated",Overpass,fnatic,16,(11:4; 5:6),G2,10,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Robin 'flusha' Rönnquist,25-19,102.2,73.1%,1.37,Olof 'olofmeister' Kajbjer,25-18,91.3,73.1%,1.32,Jesper 'JW' Wecksell,17-17,71.5,65.4%,1.09,Freddy 'KRIMZ' Johansson,18-17,76.0,69.2%,1.08,Dennis 'dennis' Edman,11-18,60.5,65.4%,0.85,Dan 'apEX' Madesclaire,24-18,82.3,76.9%,1.27,Alexandre 'bodyy' Pianaro,22-19,84.3,76.9%,1.20,Kenny 'kennyS' Schrub,18-18,72.4,73.1%,1.09,Nathan 'NBK-' Schmitt,13-22,85.0,65.4%,0.90,Richard 'shox' Papillon,12-19,58.7,61.5%,0.70
50,SK,Immortals,9,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 4 (teams with a 2-1 record). Winner advances to quarter-finals",Overpass,SK,16,(10:5; 6:4),Immortals,9,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,João 'felps' Vasconcellos,37-16,161.3,100.0%,2.40,Fernando 'fer' Alvarenga,19-17,83.0,80.0%,1.21,Epitacio 'TACO' de Melo,16-14,70.3,84.0%,1.10,Marcelo 'coldzera' David,18-13,61.3,80.0%,1.05,Gabriel 'FalleN' Toledo,16-14,60.4,80.0%,1.03,Lucas 'LUCAS1' Teles,21-20,93.8,72.0%,1.18,Henrique 'HEN1' Teles,13-19,69.6,68.0%,0.84,Ricardo 'boltz' Prass,15-20,70.0,52.0%,0.84,Vito 'kNgV-' Giuseppe,14-25,64.2,60.0%,0.68,Lucas 'steel' Lopes,11-22,49.5,60.0%,0.59
51,North,Virtus.pro,14,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 4 (teams with a 2-1 record). Winner advances to quarter-finals",Mirage,North,16,(6:9; 10:5),Virtus.pro,14,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Philip 'aizy' Aistrup,26-25,102.1,73.3%,1.36,Kristian 'k0nfig' Wienecke,26-18,86.9,66.7%,1.28,Emil 'Magisk' Reif,19-19,72.1,80.0%,1.01,René 'cajunb' Borg,17-16,58.9,70.0%,0.88,Mathias 'MSL' Lauridsen,16-22,62.0,66.7%,0.87,Janusz 'Snax' Pogorzelski,23-20,85.5,80.0%,1.22,Jarosław 'pashaBiceps' Jarząbkowski,23-21,81.8,66.7%,1.17,Filip 'NEO' Kubski,17-21,65.8,73.3%,0.98,Wiktor 'TaZ' Wojtas,18-20,56.6,63.3%,0.88,Paweł 'byali' Bieliński,19-22,68.9,60.0%,0.88
52,G2,Astralis,6,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 4 (teams with a 2-1 record). Winner advances to quarter-finals",Inferno,Astralis,6,(5:10; 1:6),G2,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Richard 'shox' Papillon,19-19,76.5,68.2%,1.04,Dan 'apEX' Madesclaire,13-18,72.8,54.5%,0.83,Kenny 'kennyS' Schrub,10-17,59.1,59.1%,0.75,Nathan 'NBK-' Schmitt,8-19,58.0,63.6%,0.66,Alexandre 'bodyy' Pianaro,11-18,55.0,59.1%,0.60,Markus 'Kjaerbye' Kjærbye,24-11,91.5,86.4%,1.72,Peter 'dupreeh' Rasmussen,20-14,115.0,77.3%,1.52,Nicolai 'device' Reedtz,19-11,85.6,86.4%,1.42,Andreas 'Xyp9x' Højsleth,16-12,66.5,81.8%,1.28,Lukas 'gla1ve' Rossander,12-13,82.3,72.7%,1.10
53,Natus Vincere,fnatic,12,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 4 (teams with a 1-2 record). Loser is eliminated",Mirage,fnatic,12,(9:6; 3:10),Natus Vincere,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Aleksandr 's1mple' Kostyliev,30-18,119.2,78.6%,1.58,Egor 'flamie' Vasilyev,16-20,85.1,60.7%,0.98,Denis 'seized' Kostin,17-18,52.3,75.0%,0.84,Ladislav 'GuardiaN' Kovács,16-20,67.3,57.1%,0.79,Ioann 'Edward' Sukhariev,15-20,58.4,67.9%,0.74,Robin 'flusha' Rönnquist,21-17,90.4,67.9%,1.28,Freddy 'KRIMZ' Johansson,19-16,77.9,71.4%,1.10,Dennis 'dennis' Edman,19-23,77.8,71.4%,1.06,Olof 'olofmeister' Kajbjer,18-18,77.9,67.9%,1.04,Jesper 'JW' Wecksell,19-20,64.4,53.6%,1.00
54,PENTA,FlipSid3,13,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 4 (teams with a 1-2 record). Loser is eliminated",Train,FlipSid3,13,(11:4; 2:12),PENTA,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jesse 'zehN' Linjala,27-20,91.6,69.0%,1.30,Miikka 'suNny' Kemppi,25-20,81.9,75.9%,1.25,Kevin 'HS' Tarn,22-24,95.5,65.5%,1.17,Kevin 'kRYSTAL' Amend,17-18,69.2,62.1%,0.91,Paweł 'innocent' Mocek,14-23,62.4,55.2%,0.69,Jan 'wayLander' Rahkonen,28-21,96.8,69.0%,1.34,Yegor 'markeloff' Markelov,23-22,104.7,75.9%,1.27,Denis 'electronic' Sharipov,25-21,85.0,65.5%,1.15,Georgi 'WorldEdit' Yaskin,22-19,70.6,75.9%,1.04,Andrey 'B1ad3' Gorodenskiy,6-22,41.1,58.6%,0.56
55,mousesports,Cloud9,11,16,19th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 4 (teams with a 1-2 record). Loser is eliminated",Train,Cloud9,11,(8:7; 3:9),mousesports,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Denis 'denis' Howell,22-18,69.4,77.8%,1.11,Chris 'chrisJ' de Jong,18-22,75.8,77.8%,1.06,Christian 'loWel' Garcia Antoran,17-19,73.7,74.1%,1.00,Robin 'ropz' Kool,16-17,89.3,63.0%,0.94,Tomáš 'oskar' Šťastný,16-20,63.5,70.4%,0.88,Timothy 'autimatic' Ta,29-19,90.7,77.8%,1.34,Tyler 'Skadoodle' Latham,19-12,60.0,77.8%,1.18,Jake 'Stewie2K' Yip,19-21,83.5,74.1%,1.10,Mike 'shroud' Grzesiek,15-17,70.3,77.8%,1.06,Jordan 'n0thing' Gilbert,14-20,68.3,74.1%,0.88
56,SK,BIG,14,16,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 2-0 record). Winner advances to quarter-finals",Inferno,BIG,14,(10:5; 4:11),SK,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Marcelo 'coldzera' David,28-20,104.4,83.3%,1.53,Fernando 'fer' Alvarenga,21-17,67.0,76.7%,1.14,João 'felps' Vasconcellos,21-23,81.5,66.7%,1.05,Gabriel 'FalleN' Toledo,15-16,57.9,76.7%,1.01,Epitacio 'TACO' de Melo,13-20,52.2,60.0%,0.74,Johannes 'tabseN' Wodarz,23-20,78.6,83.3%,1.27,Johannes 'nex' Maget,21-19,76.7,73.3%,1.06,Nikola 'LEGIJA' Ninić,19-18,64.8,70.0%,0.97,Fatih 'gob b' Dayik,16-17,58.8,70.0%,0.92,Kevin 'keev' Bartholomäus,17-25,58.8,56.7%,0.79
57,Gambit,Virtus.pro,11,16,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 2-0 record). Winner advances to quarter-finals",Train,Gambit,16,(8:7; 8:4),Virtus.pro,11,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Dauren 'AdreN' Kystaubayev,32-17,125.9,81.5%,1.88,Abay 'Hobbit' Khasenov,21-14,80.1,81.5%,1.23,Mihail 'Dosia' Stolyarov,22-18,85.6,70.4%,1.20,Danylo 'Zeus' Teslenko,13-14,62.8,70.4%,1.01,Rustem 'mou' Telepov,14-11,52.7,74.1%,0.96,Jarosław 'pashaBiceps' Jarząbkowski,19-23,65.6,70.4%,0.91,Janusz 'Snax' Pogorzelski,18-20,68.8,63.0%,0.85,Paweł 'byali' Bieliński,15-17,57.7,55.6%,0.79,Filip 'NEO' Kubski,11-20,68.7,51.9%,0.70,Wiktor 'TaZ' Wojtas,10-22,52.4,51.9%,0.58
58,fnatic,Astralis,14,16,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 1-1 record)",Nuke,Astralis,14,(10:5; 4:11),fnatic,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jesper 'JW' Wecksell,22-18,68.2,60.0%,1.12,Dennis 'dennis' Edman,25-25,96.3,63.3%,1.04,Freddy 'KRIMZ' Johansson,18-23,78.7,66.7%,0.95,Olof 'olofmeister' Kajbjer,17-21,56.7,60.0%,0.74,Robin 'flusha' Rönnquist,12-20,44.5,50.0%,0.58,Peter 'dupreeh' Rasmussen,28-19,84.4,83.3%,1.45,Nicolai 'device' Reedtz,24-21,93.2,73.3%,1.29,Lukas 'gla1ve' Rossander,19-17,87.3,70.0%,1.23,Andreas 'Xyp9x' Højsleth,20-19,73.9,83.3%,0.96,Markus 'Kjaerbye' Kjærbye,16-18,59.5,63.3%,0.90
59,G2,Cloud9,17,19,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 1-1 record)",Cobblestone,G2,19,(7:8; 8:7) (4:2),Cloud9,17,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Richard 'shox' Papillon,25-24,69.4,69.4%,1.08,Kenny 'kennyS' Schrub,25-25,72.5,72.2%,1.03,Nathan 'NBK-' Schmitt,23-29,90.8,69.4%,1.00,Alexandre 'bodyy' Pianaro,21-22,63.8,69.4%,0.97,Dan 'apEX' Madesclaire,18-25,50.3,63.9%,0.78,Jake 'Stewie2K' Yip,32-23,93.6,77.8%,1.49,Tyler 'Skadoodle' Latham,23-16,68.5,77.8%,1.19,Timothy 'autimatic' Ta,28-25,79.2,77.8%,1.13,Jordan 'n0thing' Gilbert,20-23,68.1,80.6%,1.06,Mike 'shroud' Grzesiek,22-26,72.5,63.9%,0.93
60,Natus Vincere,Immortals,10,16,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 1-1 record)",Overpass,Immortals,10,(6:9; 4:7),Natus Vincere,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Aleksandr 's1mple' Kostyliev,24-17,94.7,73.1%,1.24,Ladislav 'GuardiaN' Kovács,21-20,89.4,65.4%,1.20,Ioann 'Edward' Sukhariev,16-18,80.1,65.4%,1.05,Egor 'flamie' Vasilyev,14-19,58.4,76.9%,0.83,Denis 'seized' Kostin,8-19,43.2,69.2%,0.64,Henrique 'HEN1' Teles,22-13,87.5,69.2%,1.37,Lucas 'LUCAS1' Teles,19-16,91.5,84.6%,1.29,Ricardo 'boltz' Prass,18-19,82.4,73.1%,1.06,Vito 'kNgV-' Giuseppe,20-19,74.9,65.4%,1.06,Lucas 'steel' Lopes,14-16,58.0,65.4%,0.91
61,mousesports,North,15,19,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 1-1 record)",Cobblestone,North,15,(7:8; 8:7) (0:4),mousesports,19,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Denis 'denis' Howell,30-23,95.2,76.5%,1.22,Tomáš 'oskar' Šťastný,27-24,73.3,67.6%,1.08,Christian 'loWel' Garcia Antoran,23-26,73.4,76.5%,0.97,Robin 'ropz' Kool,20-26,75.1,67.6%,0.87,Chris 'chrisJ' de Jong,17-24,64.4,67.6%,0.85,René 'cajunb' Borg,32-17,92.2,88.2%,1.57,Philip 'aizy' Aistrup,27-23,96.4,73.5%,1.24,Kristian 'k0nfig' Wienecke,23-24,66.3,70.6%,1.04,Emil 'Magisk' Reif,23-24,64.1,70.6%,1.01,Mathias 'MSL' Lauridsen,18-29,72.6,67.6%,0.87
62,FlipSid3,FaZe,10,16,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 0-2 record). Loser is eliminated",Mirage,FlipSid3,16,(11:4; 5:6),FaZe,10,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jan 'wayLander' Rahkonen,25-18,108.3,80.8%,1.61,Denis 'electronic' Sharipov,21-17,90.3,73.1%,1.32,Georgi 'WorldEdit' Yaskin,19-14,74.2,65.4%,1.23,Yegor 'markeloff' Markelov,21-14,67.9,76.9%,1.20,Andrey 'B1ad3' Gorodenskiy,8-17,53.7,69.2%,0.69,Nikola 'NiKo' Kovač,27-18,100.8,73.1%,1.39,Finn 'karrigan' Andersen,14-16,67.3,73.1%,0.94,Aleksi 'allu' Jalli,17-20,67.1,57.7%,0.85,Håvard 'rain' Nygaard,10-20,72.3,69.2%,0.81,Fabien 'kioShiMa' Fiey,12-20,54.9,57.7%,0.68
63,Vega Squadron,PENTA,14,16,18th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 3 (teams with a 0-2 record). Loser is eliminated",Mirage,PENTA,14,(11:4; 3:12),Vega Squadron,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Sergey 'keshandr' Nikishin,22-24,88.4,80.0%,1.20,Nikolay 'mir' Bityukov,25-23,85.5,66.7%,1.08,Dmitriy 'jR' Chervak,20-22,79.7,63.3%,0.98,Leonid 'chopper' Vishnyakov,20-24,64.8,66.7%,0.82,Pavel 'hutji' Lashkov,11-19,45.0,60.0%,0.77,Miikka 'suNny' Kemppi,27-20,98.2,80.0%,1.46,Paweł 'innocent' Mocek,28-20,86.3,80.0%,1.29,Jesse 'zehN' Linjala,19-20,80.8,73.3%,1.09,Kevin 'kRYSTAL' Amend,20-20,71.6,76.7%,1.06,Kevin 'HS' Tarn,18-19,61.6,76.7%,1.03
64,Virtus.pro,fnatic,11,16,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 1-0 record)",Cache,Virtus.pro,16,(12:3; 4:8),fnatic,11,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Paweł 'byali' Bieliński,25-15,93.9,85.2%,1.47,Jarosław 'pashaBiceps' Jarząbkowski,25-18,94.9,88.9%,1.43,Filip 'NEO' Kubski,24-14,86.8,77.8%,1.33,Wiktor 'TaZ' Wojtas,18-19,80.0,81.5%,1.16,Janusz 'Snax' Pogorzelski,15-16,59.0,74.1%,1.05,Dennis 'dennis' Edman,23-22,90.4,63.0%,1.23,Olof 'olofmeister' Kajbjer,16-21,76.9,59.3%,0.90,Jesper 'JW' Wecksell,18-23,61.6,70.4%,0.80,Robin 'flusha' Rönnquist,14-20,68.3,63.0%,0.77,Freddy 'KRIMZ' Johansson,11-21,51.5,55.6%,0.68
65,SK,Astralis,8,16,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 1-0 record)",Inferno,SK,16,(13:2; 3:6),Astralis,8,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Marcelo 'coldzera' David,35-10,118.7,83.3%,2.08,Fernando 'fer' Alvarenga,20-14,90.2,70.8%,1.38,Gabriel 'FalleN' Toledo,16-15,82.5,91.7%,1.31,Epitacio 'TACO' de Melo,15-18,78.2,66.7%,1.06,João 'felps' Vasconcellos,12-17,64.2,58.3%,0.81,Markus 'Kjaerbye' Kjærbye,18-19,73.7,50.0%,0.97,Andreas 'Xyp9x' Højsleth,12-18,81.2,70.8%,0.95,Peter 'dupreeh' Rasmussen,16-21,72.6,66.7%,0.86,Nicolai 'device' Reedtz,17-20,73.5,62.5%,0.86,Lukas 'gla1ve' Rossander,10-20,65.5,62.5%,0.70
66,Gambit,G2,6,16,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 1-0 record)",Cache,Gambit,16,(10:5; 6:1),G2,6,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Dauren 'AdreN' Kystaubayev,25-10,104.4,77.3%,1.81,Rustem 'mou' Telepov,17-15,92.8,77.3%,1.38,Abay 'Hobbit' Khasenov,18-11,79.5,68.2%,1.26,Danylo 'Zeus' Teslenko,15-10,68.2,68.2%,1.13,Mihail 'Dosia' Stolyarov,9-13,56.0,72.7%,0.83,Nathan 'NBK-' Schmitt,13-17,85.7,63.6%,0.88,Kenny 'kennyS' Schrub,13-17,58.7,50.0%,0.79,Dan 'apEX' Madesclaire,13-16,65.0,54.5%,0.76,Richard 'shox' Papillon,11-16,52.3,59.1%,0.66,Alexandre 'bodyy' Pianaro,8-18,53.2,54.5%,0.63
67,BIG,Cloud9,11,16,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 1-0 record)",Inferno,BIG,16,(12:3; 4:8),Cloud9,11,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Johannes 'tabseN' Wodarz,28-15,110.5,81.5%,1.65,Johannes 'nex' Maget,26-13,89.4,88.9%,1.50,Kevin 'keev' Bartholomäus,22-15,77.4,77.8%,1.34,Fatih 'gob b' Dayik,12-17,63.6,74.1%,0.95,Nikola 'LEGIJA' Ninić,9-19,37.9,55.6%,0.64,Timothy 'autimatic' Ta,30-17,95.6,70.4%,1.40,Tyler 'Skadoodle' Latham,19-18,71.1,70.4%,1.14,Jake 'Stewie2K' Yip,16-19,80.5,70.4%,0.93,Jordan 'n0thing' Gilbert,10-21,50.4,51.9%,0.51,Mike 'shroud' Grzesiek,4-22,48.5,51.9%,0.41
68,Immortals,Vega Squadron,6,16,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 0-1 record)",Train,Immortals,16,(10:5; 6:1),Vega Squadron,6,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Ricardo 'boltz' Prass,20-9,100.7,81.8%,1.70,Henrique 'HEN1' Teles,21-10,100.2,81.8%,1.65,Lucas 'steel' Lopes,19-14,81.8,90.9%,1.47,Vito 'kNgV-' Giuseppe,20-9,81.4,81.8%,1.45,Lucas 'LUCAS1' Teles,13-13,73.7,72.7%,1.09,Nikolay 'mir' Bityukov,18-20,89.1,54.5%,0.98,Dmitriy 'jR' Chervak,11-17,41.4,45.5%,0.60,Pavel 'hutji' Lashkov,10-19,51.2,45.5%,0.50,Leonid 'chopper' Vishnyakov,9-18,48.7,50.0%,0.48,Sergey 'keshandr' Nikishin,7-19,55.2,59.1%,0.46
69,FlipSid3,Natus Vincere,9,16,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 0-1 record)",Train,Natus Vincere,9,(7:8; 2:8),FlipSid3,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Denis 'electronic' Sharipov,20-18,89.3,60.0%,1.16,Yegor 'markeloff' Markelov,20-18,88.7,56.0%,1.03,Georgi 'WorldEdit' Yaskin,14-20,68.0,72.0%,0.92,Jan 'wayLander' Rahkonen,10-22,49.4,56.0%,0.52,Andrey 'B1ad3' Gorodenskiy,7-21,48.2,44.0%,0.51,Denis 'seized' Kostin,22-12,91.6,84.0%,1.45,Egor 'flamie' Vasilyev,22-17,116.5,64.0%,1.45,Aleksandr 's1mple' Kostyliev,23-14,96.4,80.0%,1.44,Ladislav 'GuardiaN' Kovács,19-12,68.8,76.0%,1.25,Ioann 'Edward' Sukhariev,13-16,47.3,76.0%,0.89
70,mousesports,FaZe,15,19,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 0-1 record)",Train,mousesports,19,(8:7; 7:8) (4:0),FaZe,15,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Robin 'ropz' Kool,24-17,80.7,79.4%,1.28,Christian 'loWel' Garcia Antoran,27-21,82.3,79.4%,1.26,Denis 'denis' Howell,26-21,75.5,79.4%,1.22,Tomáš 'oskar' Šťastný,26-20,87.5,70.6%,1.20,Chris 'chrisJ' de Jong,21-25,67.6,67.6%,0.93,Håvard 'rain' Nygaard,33-23,103.8,79.4%,1.47,Aleksi 'allu' Jalli,25-26,83.8,58.8%,1.09,Nikola 'NiKo' Kovač,24-25,73.6,73.5%,1.03,Fabien 'kioShiMa' Fiey,10-23,36.5,67.6%,0.63,Finn 'karrigan' Andersen,12-27,37.7,50.0%,0.48
71,PENTA,North,9,16,17th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 2 (teams with a 0-1 record)",Mirage,North,9,(8:7; 1:9),PENTA,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jesse 'zehN' Linjala,19-17,79.4,60.0%,1.18,Miikka 'suNny' Kemppi,19-20,88.0,68.0%,1.08,Kevin 'HS' Tarn,17-20,69.9,68.0%,1.04,Kevin 'kRYSTAL' Amend,16-21,72.2,68.0%,0.88,Paweł 'innocent' Mocek,5-18,44.6,48.0%,0.48,Kristian 'k0nfig' Wienecke,29-16,114.9,72.0%,1.68,René 'cajunb' Borg,20-12,88.0,84.0%,1.48,Philip 'aizy' Aistrup,15-13,71.1,72.0%,1.05,Mathias 'MSL' Lauridsen,18-20,68.6,80.0%,1.01,Emil 'Magisk' Reif,14-15,64.8,64.0%,0.87
72,Astralis,Immortals,17,19,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Overpass,Astralis,19,(9:6; 6:9) (4:2),Immortals,17,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Peter 'dupreeh' Rasmussen,32-23,95.7,72.2%,1.41,Lukas 'gla1ve' Rossander,31-22,86.8,75.0%,1.34,Markus 'Kjaerbye' Kjærbye,24-21,66.8,83.3%,1.19,Nicolai 'device' Reedtz,19-24,56.4,69.4%,0.87,Andreas 'Xyp9x' Højsleth,18-25,67.6,63.9%,0.83,Lucas 'LUCAS1' Teles,28-27,97.6,77.8%,1.24,Vito 'kNgV-' Giuseppe,27-25,77.0,66.7%,1.06,Ricardo 'boltz' Prass,24-28,82.9,66.7%,0.94,Lucas 'steel' Lopes,20-22,60.1,75.0%,0.92,Henrique 'HEN1' Teles,16-22,51.4,63.9%,0.78
